Date,Count
4/1/2018,8
4/2/2018,7
4/3/2018,31
4/4/2018,18
4/5/2018,31
4/6/2018,49
4/7/2018,16
4/8/2018,12
4/9/2018,26
4/10/2018,34
4/11/2018,51
4/12/2018,34
4/13/2018,39
4/14/2018,14
4/15/2018,14
4/16/2018,25
4/17/2018,31
4/18/2018,32
4/19/2018,48
4/20/2018,42
4/21/2018,24
4/22/2018,6
4/23/2018,21
4/24/2018,25
4/25/2018,38
4/26/2018,27
4/27/2018,25
4/28/2018,23
4/29/2018,11
4/30/2018,25
5/1/2018,7
5/2/2018,42
5/3/2018,24
5/4/2018,34
5/5/2018,13
5/6/2018,13
5/7/2018,34
5/8/2018,37
5/9/2018,54
5/10/2018,7
5/11/2018,25
5/12/2018,22
5/13/2018,17
5/14/2018,36
5/15/2018,37
5/16/2018,30
5/17/2018,34
5/18/2018,32
5/19/2018,17
5/20/2018,5
5/21/2018,8
5/22/2018,29
5/23/2018,37
5/24/2018,37
5/25/2018,32
5/26/2018,14
5/27/2018,11
5/28/2018,33
5/29/2018,35
5/30/2018,43
5/31/2018,45
6/1/2018,37
6/2/2018,13
6/3/2018,9
6/4/2018,18
6/5/2018,35
6/6/2018,31
6/7/2018,41
6/8/2018,29
6/9/2018,11
6/10/2018,11
6/11/2018,28
6/12/2018,22
6/13/2018,22
6/14/2018,32
6/15/2018,32
6/16/2018,15
6/17/2018,12
6/18/2018,23
6/19/2018,27
6/20/2018,30
6/21/2018,45
6/22/2018,38
6/23/2018,17
6/24/2018,2
6/25/2018,30
6/26/2018,28
6/27/2018,37
6/28/2018,40
6/29/2018,34
6/30/2018,21
7/1/2018,20
7/2/2018,26
7/3/2018,32
7/4/2018,25
7/5/2018,36
7/6/2018,34
7/7/2018,14
7/8/2018,10
7/9/2018,19
7/10/2018,27
7/11/2018,32
7/12/2018,24
7/13/2018,20
7/14/2018,8
7/15/2018,7
7/16/2018,30
7/17/2018,28
7/18/2018,33
7/19/2018,19
7/20/2018,20
7/21/2018,9
7/22/2018,10
7/23/2018,16
7/24/2018,22
7/25/2018,14
7/26/2018,33
7/27/2018,35
7/28/2018,15
7/29/2018,7
7/30/2018,27
7/31/2018,26
8/1/2018,35
8/2/2018,33
8/3/2018,34
8/4/2018,18
8/5/2018,12
8/6/2018,28
8/7/2018,29
8/8/2018,20
8/9/2018,30
8/10/2018,31
8/11/2018,16
8/12/2018,7
8/13/2018,31
8/14/2018,35
8/15/2018,20
8/16/2018,34
8/17/2018,28
8/18/2018,14
8/19/2018,9
8/20/2018,39
8/21/2018,33
8/22/2018,21
8/23/2018,26
8/24/2018,35
8/25/2018,27
8/26/2018,12
8/27/2018,36
8/28/2018,24
8/29/2018,33
8/30/2018,32
8/31/2018,27
9/1/2018,24
9/2/2018,19
9/3/2018,32
9/4/2018,28
9/5/2018,22
9/6/2018,42
9/7/2018,39
9/8/2018,17
9/9/2018,18
9/10/2018,25
9/11/2018,24
9/12/2018,40
9/13/2018,26
9/14/2018,35
9/15/2018,12
9/16/2018,12
9/17/2018,40
9/18/2018,33
9/19/2018,48
9/20/2018,31
9/21/2018,40
9/22/2018,22
9/23/2018,18
9/24/2018,65
9/25/2018,39
9/26/2018,33
9/27/2018,28
9/28/2018,28
9/29/2018,20
9/30/2018,7
10/1/2018,36
10/2/2018,55
10/3/2018,9
10/4/2018,18
10/5/2018,29
10/6/2018,14
10/7/2018,9
10/8/2018,33
10/9/2018,20
10/10/2018,25
10/11/2018,29
10/12/2018,30
10/13/2018,16
10/14/2018,13
10/15/2018,27
10/16/2018,44
10/17/2018,30
10/18/2018,28
10/19/2018,42
10/20/2018,18
10/21/2018,11
10/22/2018,41
10/23/2018,43
10/24/2018,52
10/25/2018,32
10/26/2018,44
10/27/2018,28
10/28/2018,10
10/29/2018,22
10/30/2018,49
10/31/2018,11
11/1/2018,34
11/2/2018,33
11/3/2018,19
11/4/2018,8
11/5/2018,27
11/6/2018,31
11/7/2018,41
11/8/2018,28
11/9/2018,57
11/10/2018,27
11/11/2018,11
11/12/2018,35
11/13/2018,20
11/14/2018,31
11/15/2018,44
11/16/2018,35
11/17/2018,16
11/18/2018,11
11/19/2018,33
11/20/2018,33
11/21/2018,23
11/22/2018,22
11/23/2018,40
11/24/2018,21
11/25/2018,9
11/26/2018,29
11/27/2018,31
11/28/2018,35
11/29/2018,56
11/30/2018,36
12/1/2018,16
12/2/2018,18
12/3/2018,34
12/4/2018,36
12/5/2018,37
12/6/2018,53
12/7/2018,48
12/8/2018,22
12/9/2018,6
12/10/2018,41
12/11/2018,40
12/12/2018,26
12/13/2018,34
12/14/2018,18
12/15/2018,11
12/16/2018,12
12/17/2018,27
12/18/2018,21
12/19/2018,30
12/20/2018,28
12/21/2018,25
12/22/2018,18
12/23/2018,10
12/24/2018,12
12/25/2018,13
12/26/2018,9
12/27/2018,19
12/28/2018,24
12/29/2018,12
12/30/2018,8
12/31/2018,10
